clause_id,section_title,requirement_summary,evidence_type,evidence_description,evidence_path_or_pattern,validation_method,owner_role,status,notes
HHI-GOV-01-1,Scope & Applicability,Requirements apply only within defined boundaries,SCOPE_DECLARATION,Scope definition,HHI-GOV-01.md#scope,document inspection,Builder,TODO,
HHI-GOV-01-1.3,Governance Boundary,Boundary MUST be explicitly defined,BOUNDARY_DOC,Boundary artifact,docs/boundaries/*,document inspection,Builder,TODO,

HHI-GOV-01-2.1,Authority Declaration,Authority MUST be declared at execution time,AUTHORITY_RECORD,Authority declaration,governance/approval/LOCK_MANIFEST.json,artifact presence,Human Authority,LOCKED,
HHI-GOV-01-2.2,Accountability Binding,Decisions MUST bind to accountable roles,ACCOUNTABILITY_TRACE,Decision-role trace,governance/audit/*,traceability check,Auditor,TODO,

HHI-GOV-01-2.3,Non-Bypassable Event Emission,Actions MUST emit events,EVENT_LOG,Execution event logs,governance/audit/events/*,log completeness,Automation,TODO,
HHI-GOV-01-2.4,Evidence & Ledger Invariants,Evidence MUST satisfy invariants,LEDGER_HASH,Checksums + manifests,governance/approval/CANONICAL_CHECKSUMS_*.txt,hash verification,Auditor,LOCKED,

HHI-GOV-01-2.5,Drift Detection,Behavioral drift MUST be detected,DRIFT_METRICS,Drift metrics output,governance/metrics/*,metric presence,Auditor,TODO,
HHI-GOV-01-2.6,Escalation Enforcement,Escalation MUST be enforced,ESCALATION_RECORD,Escalation execution,governance/audit/escalations/*,workflow check,Human Authority,TODO,
HHI-GOV-01-2.7,Governance Failure Response,Failure response MUST exist,FAILURE_PLAN,Response definition,docs/failure_response.md,document inspection,Human Authority,TODO,

HHI-GOV-01-2.8,Separation of Powers,Roles MUST be separated,ROLE_DEFINITION,Role separation evidence,docs/roles.md,role overlap analysis,Auditor,TODO,

HHI-GOV-01-3,Negative Evidence Requirement,Absence of evidence MUST be detectable,NEGATIVE_EVIDENCE_LOG,Missing-evidence records,governance/audit/negative/*,absence validation,Auditor,TODO,
HHI-GOV-01-4,Proof & Falsifiability Criteria,Claims MUST be falsifiable,AUDIT_PROOF_SET,Audit proof artifacts,governance/audit/*,falsifiability review,Auditor,TODO,

HHI-GOV-01-CC,Canonical Closure,Canonical statement governs interpretation,CANONICAL_STATEMENT,Closure clause,HHI-GOV-01.md#canonical-closure,document inspection,Auditor,LOCKED,

clause_id,control_name,requirement_summary,evidence_required,verification_method,status,notes
HRCP-NSG-1,Observe Without Absorption,Human regulator MUST detect incoherent signals without internalizing them,Audit transcript showing early pattern recognition,Conversation review,Applicable,Derived from NSG-TB-1977-1219
HRCP-NSG-2,Early Invalidation,Human regulator MUST terminate invalid signals prior to escalation,Stop/Refusal log,Audit trace,Applicable,
HRCP-NSG-3,Corrective Emission,Corrective signals MUST restore coherence not persuade,Issued response artifacts,Content analysis,Applicable,
HRCP-NSG-4,Reseating Requirement,Regulator MUST return to baseline after enforcement,Session closure evidence,Behavioral review,Applicable,
HRCP-NSG-5,No Authority Substitution,Regulator MUST NOT assume authority over system or subject,Role declaration evidence,Governance review,Applicable,
